squat jump,,,,,,,,,,,,,,,,,,
version=1,,,,,,,,,,,,,,,,,,
nRows=16350,,,,,,,,,,,,,,,,,,
nColumns=19,,,,,,,,,,,,,,,,,,
inDegrees=yes,,,,,,,,,,,,,,,,,,
endheader,,,,,,,,,,,,,,,,,,
time,ground_force1_vx,ground_force1_vy,ground_force1_vz,ground_force1_px,ground_force1_py,ground_force1_pz,ground_torque1_x,ground_torque1_y,ground_torque1_z,ground_force2_vx,ground_force2_vy,ground_force2_vz,ground_force2_px,ground_force2_py,ground_force2_pz,ground_torque2_x,ground_torque2_y,ground_torque2_z
0,2.546874,451.770203,39.119617,0.341258,0,-1.098607,-0.000013,-1.300009,0.000009,-2.024414,431.299866,-40.956036,0.356508,0,-0.74556,0.00002,1.042062,0.000008
0.001,2.465858,451.936584,38.713623,0.341155,0,-1.097397,0.000018,-1.161696,0.000009,-2.183946,431.934509,-41.20211,0.356557,0,-0.744642,0.000009,1.256727,0.000007
0.002,2.54604,452.415405,38.875607,0.341195,0,-1.09826,0.000012,-1.179738,0.00001,-2.263295,431.61731,-41.200733,0.356588,0,-0.744346,0.000024,1.184832,0.000008
0.003,3.423881,453.048706,38.469612,0.340944,0,-1.098417,0.000023,-0.907516,0.000021,-2.185614,431.145386,-41.120773,0.356429,0,-0.745042,0.000021,1.342841,0.00001
0.004,2.866771,452.891785,38.470985,0.340675,0,-1.098693,0,-1.191177,0.000002,-1.865717,430.351135,-41.20211,0.356342,0,-0.745725,0.000006,1.211395,-0.000003
0.005,3.265183,453.2052,39.117554,0.340986,0,-1.098799,-0.000003,-1.033613,0.000009,-1.626002,430.667572,-41.12146,0.356177,0,-0.746011,0.000022,1.118197,0.000006
0.006,3.426383,454.15509,38.95488,0.341064,0,-1.099595,0.000048,-1.069398,-0.000004,-1.22759,431.454193,-40.798176,0.356202,0,-0.746589,0.000024,1.044765,-0.000002
0.007,3.665263,454.153137,38.711559,0.341093,0,-1.099866,0.000024,-0.956026,0.000014,-1.22759,431.453247,-40.717529,0.356507,0,-0.745299,0.000015,1.067989,0.000006
0.008,3.108153,453.049194,38.710869,0.341348,0,-1.098637,0.000023,-1.152349,-0.000002,-1.468138,432.564545,-41.0415,0.355793,0,-0.744445,0.000017,1.211269,0.000006
0.009,3.188336,454.153992,38.790142,0.341037,0,-1.099369,0.00001,-1.068507,0.000009,-1.385453,430.348816,-40.636192,0.356555,0,-0.74566,0.000004,0.984022,0.000003
0.01,3.188336,454.313934,38.790142,0.340655,0,-1.09909,-0.000021,-1.052824,0.000007,-1.385453,433.037109,-41.042877,0.35582,0,-0.744764,0.000008,1.061022,0.000006
0.011,3.108988,453.835938,38.384834,0.341057,0,-1.099238,0,-1.082848,-0.000005,-1.228424,430.828308,-40.96085,0.356126,0,-0.746008,0.000015,1.140341,0.000009
0.012,3.188336,453.997437,38.548885,0.341272,0,-1.09992,0.000015,-1.154256,0.000018,-1.468972,433.037933,-40.96085,0.355963,0,-0.744754,0.000018,1.287221,0.000017
0.013,3.347868,452.733093,38.788765,0.341552,0,-1.098695,0.000049,-0.977821,0.000012,-1.707019,431.775757,-41.123524,0.355483,0,-0.745119,0.000008,1.298181,0.000006
0.014,3.028805,451.624756,38.464108,0.341397,0,-1.097738,0.000049,-1.002035,0.000013,-1.229259,430.50827,-40.962227,0.35617,0,-0.746487,0.000002,1.266891,0.00001
0.015,2.551877,453.205383,39.111366,0.341342,0,-1.098314,0.00002,-1.227733,0.000007,-1.229259,432.405121,-41.610855,0.355463,0,-0.746029,0.000016,1.307936,0.000014
0.016,2.471694,453.997681,38.624718,0.341332,0,-1.098449,0.000004,-1.165543,0.000011,-1.068058,430.354065,-40.314281,0.355976,0,-0.746126,0.000002,1.061981,0.000009
0.017,2.470861,454.632965,38.542694,0.341127,0,-1.098813,-0.000001,-1.048434,0.000012,-1.387956,434.303009,-41.286198,0.355044,0,-0.743929,-0.000005,1.226871,0.000014
0.018,2.78909,454.7883,38.13876,0.341223,0,-1.099069,0.000018,-0.950397,0.000004,-1.068892,431.608429,-40.88089,0.356123,0,-0.745852,0.000023,1.138974,0.00001
0.019,2.711409,455.269104,38.381393,0.340949,0,-1.098699,0.000013,-1.091328,0.000021,-0.987876,434.939453,-41.043564,0.354704,0,-0.743211,0.000025,1.013562,0
0.02,2.787422,454.630676,38.544754,0.341162,0,-1.098325,0.000012,-0.902867,0.000019,-1.147407,430.663605,-40.882954,0.355926,0,-0.745471,0.000034,1.172262,0.000005
0.021,2.78909,454.46991,38.544754,0.34125,0,-1.098115,0.000035,-1.016915,0.000008,-1.148241,432.251282,-40.719593,0.355107,0,-0.745895,0.000017,1.118191,0.000007
0.022,2.708073,454.15448,38.464798,0.341273,0,-1.099165,0.000007,-1.005127,0.00001,-1.068058,432.880798,-40.96085,0.355034,0,-0.744727,0.000009,0.990637,0.000005
0.023,2.708908,456.20929,38.300743,0.341302,0,-1.099725,0.000025,-0.954413,0.00002,-0.750663,431.922363,-40.799553,0.355506,0,-0.746137,0.000005,1.053502,-0.000001
0.024,3.105652,456.366608,38.0588,0.341259,0,-1.099234,0.000071,-0.752302,0.000004,-1.388789,434.619415,-41.123524,0.354698,0,-0.743693,0.000019,1.225271,0.000003
0.025,3.108153,456.683838,38.303497,0.341085,0,-1.099381,0.000069,-1.008313,0.000001,-0.910194,432.7229,-40.718903,0.355303,0,-0.744423,0.000021,1.103637,0.000013
0.026,2.867605,457.165161,38.465485,0.341083,0,-1.098781,0.00005,-0.990385,0.000003,-0.830846,434.459473,-40.878826,0.355169,0,-0.744157,0.000019,1.009282,-0.000002
0.027,3.106486,456.525909,38.709496,0.341316,0,-1.098884,0.000012,-0.972547,0.000006,-0.511783,432.080658,-40.557606,0.355132,0,-0.746637,0.000023,1.032696,0.000004
0.028,3.186669,456.524567,38.871479,0.341036,0,-1.099591,0.000026,-0.978376,-0.000005,-0.432434,434.463226,-40.556229,0.354911,0,-0.744622,0.000034,0.958974,0.000006
0.029,3.266017,455.266144,38.709496,0.341449,0,-1.098177,0.000016,-0.934984,0.000002,-1.072227,433.195251,-40.880203,0.354842,0,-0.745269,0.00001,1.276288,0.00001
0.03,2.708073,454.941223,38.304874,0.341707,0,-1.09756,0.00003,-1.112697,0.000007,-0.911862,432.560791,-41.042877,0.35525,0,-0.745725,0.00004,1.233044,0.000011
0.031,2.628725,453.993591,38.142887,0.341492,0,-1.096797,0.000062,-1.14373,0.000004,-0.911029,433.041443,-41.042877,0.354652,0,-0.745774,0.000021,1.152447,0.000006
0.032,2.627891,455.101471,38.14151,0.341172,0,-1.097543,0.000023,-1.009737,0.000016,-0.912696,432.876038,-40.962227,0.355057,0,-0.745755,0.000006,1.293717,0.000017
0.033,2.945286,456.208008,38.063614,0.341615,0,-1.097812,0.000041,-0.984736,0.000009,-0.830846,433.350403,-41.205551,0.354625,0,-0.746352,0.000003,1.143103,0.00001
0.034,2.945286,457.155518,38.470299,0.341092,0,-1.098052,0.000033,-1.067628,0.000015,-0.353085,433.66864,-41.448868,0.354945,0,-0.745143,0.000025,1.099835,0.000003
0.035,2.945286,457.161682,38.388962,0.341237,0,-1.098547,0.000013,-1.054242,0.000007,-0.512616,433.510864,-41.286198,0.354564,0,-0.745612,0.000022,1.088623,0.000008
0.036,3.023801,456.528076,38.065678,0.341594,0,-1.097747,-0.000005,-0.982129,0.000014,-0.4316,434.299683,-40.637566,0.354856,0,-0.744872,0.000018,0.922333,0.000004
0.037,3.022967,457.156799,38.149078,0.341682,0,-1.098334,0.000035,-1.054257,0.000003,-0.591965,435.569946,-41.124214,0.354522,0,-0.743812,0.000003,1.07252,0.000008
0.038,2.780751,458.58075,38.067741,0.341161,0,-1.099013,0.000042,-0.881911,0.000015,-0.27457,433.352539,-40.638943,0.355304,0,-0.74603,0.000006,1.129858,0.000006
0.039,3.26018,459.059601,37.825794,0.340954,0,-1.098941,-0.000004,-0.849133,-0.000005,-0.27457,437.30835,-40.637566,0.354118,0,-0.74423,0.000015,1.013068,0.000003
0.04,3.338695,458.740692,37.907131,0.340993,0,-1.099239,0.000058,-0.768395,0.000003,-0.593633,434.145508,-40.962227,0.354471,0,-0.74412,0.000012,1.173802,0.00001
0.041,3.261014,458.739563,37.58522,0.340984,0,-1.099034,0.000004,-1.015181,0.00001,-0.116706,434.933289,-41.122837,0.354663,0,-0.745517,0.000021,1.093251,-0.000002
0.042,3.180831,458.586212,38.071182,0.340915,0,-1.098529,0.000026,-1.02367,0.000013,-0.594467,433.980286,-40.96154,0.354419,0,-0.745382,0.000031,1.194463,-0.000003
0.043,3.418878,458.583069,38.151833,0.341088,0,-1.099003,0.000031,-0.874155,0.000002,-0.275403,434.936493,-41.124214,0.35449,0,-0.745004,0.000024,1.145422,-0.000002
0.044,3.338695,457.784729,38.070496,0.341515,0,-1.098452,0.000005,-0.860521,0.000013,-0.034855,435.564148,-41.204174,0.353984,0,-0.745349,0.000031,0.922865,-0.000002
0.045,3.338695,457.786682,38.153206,0.341514,0,-1.098202,0.000058,-0.94819,0.000003,-0.114204,434.608063,-40.555542,0.355163,0,-0.744913,0.000008,0.896653,0.000011
0.046,3.259346,457.946289,38.151833,0.341417,0,-1.098169,0.000012,-0.924374,0.000013,-0.115038,436.35083,-41.446808,0.353956,0,-0.745989,0.000013,0.969834,0.000008
0.047,3.097313,457.631714,37.991219,0.341137,0,-1.097767,0.000014,-0.847352,0.000009,-0.115038,434.296021,-40.636879,0.354744,0,-0.74564,0.000002,0.957395,0.000007
0.048,3.41721,457.629395,37.911259,0.341319,0,-1.097777,0.000006,-0.8764,0.000005,-0.275403,437.305573,-40.96085,0.353661,0,-0.743509,0.000001,1.033993,0.000004
0.049,3.65609,458.580292,37.911945,0.340679,0,-1.098303,0.000067,-0.799451,0.000018,-0.356421,434.61676,-41.123524,0.354215,0,-0.74522,0.000014,1.207959,0.000018
0.05,3.179997,457.789307,38.151833,0.341059,0,-1.097958,0.000042,-0.958121,0.000017,0.203192,434.774597,-40.88089,0.354643,0,-0.744705,0.000025,0.979213,0.000008
0.051,3.499894,456.361267,38.071182,0.342025,0,-1.096567,0.000019,-0.97816,0.000005,-0.276237,435.400299,-41.528831,0.354053,0,-0.745375,0.000018,1.188862,0.000008
0.052,3.180831,457.948944,37.826485,0.340826,0,-1.097478,0.000045,-0.921691,0.000012,-0.115871,433.661713,-40.719593,0.354366,0,-0.746336,0.000037,1.087811,0.000007
0.053,2.781585,458.582428,37.826485,0.341012,0,-1.097592,0.000026,-1.002835,0.000017,0.127178,436.831329,-41.286198,0.353846,0,-0.744754,0.000036,0.757105,-0.000001
0.054,2.862602,459.217773,37.50251,0.340819,0,-1.09798,0.000021,-1.046255,0.000014,0.204025,434.778046,-40.963604,0.35449,0,-0.744965,0.000042,1.006451,0.000009
0.055,3.258512,459.533966,37.663811,0.340406,0,-1.099581,0.00006,-0.71256,0.000017,-0.034855,436.992554,-40.962914,0.354034,0,-0.74448,0.000026,0.996674,-0.000001
0.056,3.498226,460.948425,37.501823,0.340522,0,-1.099543,-0.000003,-0.677475,-0.000001,0.363558,435.08786,-40.882954,0.354472,0,-0.745001,0.000022,0.970872,-0.000005
0.057,3.500728,459.056152,37.907131,0.34098,0,-1.098208,0.000047,-0.890802,0.000013,0.284208,436.042999,-40.799553,0.353886,0,-0.745101,-0.000004,0.818919,0.000013
0.058,3.738775,459.214264,37.905754,0.341355,0,-1.09866,0.000058,-0.694422,0.000015,-0.034855,436.352539,-41.206921,0.353963,0,-0.744943,0.000013,1.058178,0.000008
0.059,3.900808,458.903961,37.905067,0.341111,0,-1.098484,-0.000003,-0.77688,-0.000004,-0.034855,436.201965,-40.799553,0.353901,0,-0.743851,0.000015,0.91423,0.000013
0.06,3.182499,457.317261,38.067741,0.341464,0,-1.097342,0.000062,-0.981843,0.000011,0.045328,436.512939,-41.126274,0.353874,0,-0.74419,0.000038,1.01544,0.000005
0.061,3.341197,457.792114,37.49976,0.341368,0,-1.098276,0.000014,-0.809991,0.000005,0.361889,434.937134,-41.126274,0.354107,0,-0.745,0.000028,1.098537,0.000012
0.062,3.261014,457.316101,37.74308,0.341473,0,-1.097136,0.000009,-0.829967,0.000015,0.20486,435.407166,-40.962227,0.353805,0,-0.745806,0.00001,0.854004,0.000015
0.063,3.341197,457.951233,37.661057,0.340845,0,-1.09798,0.000043,-0.762095,0.00001,0.280873,434.453827,-40.96154,0.354086,0,-0.746459,0.000004,1.059933,-0.000001
0.064,3.422213,457.321045,37.335709,0.341055,0,-1.097423,0.000046,-0.74959,0.000005,0.042827,434.772217,-40.880203,0.353866,0,-0.746485,0.000013,1.016685,0.000016
0.065,3.424715,457.322174,37.417732,0.341202,0,-1.098141,0.000033,-0.978892,0.000005,0.602437,435.7258,-40.639629,0.353809,0,-0.74428,0.000018,0.870891,0.000006
0.066,3.582579,456.844482,37.984341,0.341191,0,-1.097446,0.000001,-0.831029,0.000014,0.125511,436.670929,-40.963604,0.353637,0,-0.744443,0,0.911114,0.000007
0.067,3.423881,457.318756,38.144951,0.341201,0,-1.097331,0.000039,-0.866017,0.000016,0.445408,434.456604,-40.641693,0.354257,0,-0.746164,0.000003,0.869449,0.000005
0.068,3.024635,457.317078,37.576279,0.341012,0,-1.097879,0.000033,-0.82542,0.000002,0.363558,435.88504,-40.639629,0.35308,0,-0.746072,0.000007,0.883433,0.000016
0.069,3.103984,458.118774,37.576279,0.340872,0,-1.097476,0.000008,-0.770825,0.000004,0.523088,433.983093,-40.235699,0.353483,0,-0.745795,-0.000011,0.881498,0.000015
0.07,3.183333,457.000702,37.252998,0.341056,0,-1.09677,0.000034,-0.747813,0.000014,0.602437,436.039581,-40.478333,0.353923,0,-0.744305,0.000038,0.900698,0.00001
0.071,3.342864,457.317413,37.010361,0.340757,0,-1.097699,0.000021,-0.705933,0.000004,0.204025,434.295593,-40.804367,0.353102,0,-0.746159,-0.000006,1.076797,0
0.072,3.740443,458.587646,37.172348,0.34098,0,-1.099597,0.000008,-0.543155,-0.000002,1.000015,434.927063,-40.64032,0.353579,0,-0.746222,0.000015,0.859691,-0.000001
0.073,3.820625,458.112823,37.414295,0.340957,0,-1.098219,0.000061,-0.503785,0.000006,0.842153,436.514618,-40.803677,0.352904,0,-0.744397,0.000002,0.846012,0.000005
0.074,3.823128,457.63858,37.497009,0.340929,0,-1.098307,0.000005,-0.758428,0.000009,1.320746,434.45932,-40.154362,0.353594,0,-0.744824,0.000003,0.628396,0.000011
0.075,3.822293,457.16568,37.416359,0.341188,0,-1.097689,-0.000001,-0.723789,0.000006,0.921501,436.676208,-40.803677,0.35297,0,-0.744413,0.000019,0.853089,0.000007
0.076,3.582579,457.796234,37.578346,0.340815,0,-1.098506,0.000047,-0.752594,0.000007,1.00085,433.820404,-40.480392,0.353483,0,-0.745554,-0.000003,0.893745,0.000014
0.077,3.581745,457.796387,37.82029,0.341249,0,-1.097998,0.000017,-0.670622,-0.000002,1.001684,435.567841,-40.396996,0.352886,0,-0.744733,0.000003,0.690754,-0.000002
0.078,3.82146,457.797363,37.416359,0.340842,0,-1.098766,0.000013,-0.659351,0.000013,1.000015,434.61795,-40.64238,0.352849,0,-0.745152,0.000008,0.933248,0.000002
0.079,4.06034,457.953217,37.497696,0.341218,0,-1.098726,0.000041,-0.605224,-0.000002,1.637309,434.616425,-40.398373,0.353231,0,-0.745126,-0.000006,0.751169,0.000017
0.08,3.422213,456.376709,37.497696,0.340415,0,-1.097838,0.000031,-0.733819,0.000007,0.919832,435.245697,-41.288948,0.352307,0,-0.745565,0.000009,0.928951,0
0.081,3.262682,455.264709,37.253685,0.341299,0,-1.096883,-0.000008,-0.743093,0.000005,1.39676,431.766724,-40.720966,0.353093,0,-0.746344,-0.000011,0.848463,0.000006
0.082,3.581745,454.627747,37.497009,0.341396,0,-1.096985,0.000015,-0.692909,0.000003,0.83965,436.035645,-41.450245,0.352276,0,-0.74416,0.000018,0.955158,-0.000004
0.083,3.262682,455.422852,37.497009,0.341503,0,-1.096825,0.000033,-0.777823,0.000003,1.39676,432.556763,-40.641693,0.35307,0,-0.744898,-0.000001,0.930293,0.000006
0.084,3.183333,455.584412,37.252312,0.341405,0,-1.096577,-0.000026,-0.726139,0.000005,1.476943,434.929626,-40.641006,0.352103,0,-0.744428,-0.000002,0.805942,0.000011
0.085,3.342031,457.322174,37.170975,0.341046,0,-1.097684,0.00003,-0.599672,0.000001,1.555458,433.031616,-40.235699,0.3528,0,-0.744651,-0.000006,0.855649,0.000012
0.086,3.184167,457.006897,37.010361,0.341348,0,-1.097769,0.000037,-0.824259,0.000014,1.716658,434.302887,-40.155048,0.352053,0,-0.744282,0.000024,0.679474,0.000016
0.087,3.501562,457.635132,37.009674,0.341184,0,-1.098605,0.00001,-0.594632,0,1.237228,433.664124,-40.964287,0.352379,0,-0.744562,0.000027,0.899121,0.000011
0.088,3.261848,458.428375,37.009674,0.340723,0,-1.099405,-0.000014,-0.613056,0.00001,1.953036,433.816772,-39.910351,0.352984,0,-0.74472,0.000023,0.74321,0.000002
0.089,3.419712,457.006409,37.738266,0.341232,0,-1.098412,0.000032,-0.490607,0.000009,1.795173,434.455933,-40.236385,0.351965,0,-0.743297,0.000005,0.759544,0.000008
0.09,3.502396,456.054199,37.170975,0.341328,0,-1.097703,0.00004,-0.625232,0.000007,1.875356,431.611816,-40.317722,0.352473,0,-0.744986,0.000019,0.746583,0.000007
0.091,2.943619,456.684082,36.684326,0.341207,0,-1.098112,0.000017,-0.681711,0.000005,1.795173,430.97821,-40.235008,0.352545,0,-0.746695,0.000025,0.708666,0.000003
0.092,3.024635,456.844482,36.844936,0.341127,0,-1.097576,0.000058,-0.67904,0.000013,2.114236,432.233429,-40.152985,0.352583,0,-0.745315,0.000003,0.562455,0.00001
0.093,3.022967,457.006409,36.924896,0.34104,0,-1.098019,0.000033,-0.518256,0.000006,1.874521,432.394043,-40.478333,0.351843,0,-0.745367,0.000016,0.716989,0.000004
0.094,2.942784,457.795868,36.925587,0.341033,0,-1.098824,0.00004,-0.546872,0.000004,2.113402,431.603516,-39.910351,0.352505,0,-0.745202,0.000039,0.619681,0.000007
0.095,3.183333,456.846313,36.925587,0.340856,0,-1.098293,0.00005,-0.561452,0.000019,1.954704,432.398499,-40.396996,0.352002,0,-0.744073,0.00003,0.652881,0.000006
0.096,3.422213,456.685181,37.248871,0.341262,0,-1.09829,0.000034,-0.467486,0.000004,2.112568,429.703796,-39.749741,0.352272,0,-0.745457,0.000016,0.725451,0.000015
0.097,3.423881,455.262695,37.005547,0.341466,0,-1.097642,0.00006,-0.556786,0.000006,2.271266,430.971252,-40.316345,0.352139,0,-0.745682,0.000008,0.741333,0.000014
0.098,3.26435,454.315796,36.92421,0.341971,0,-1.096145,-0.00001,-0.590691,0.000008,2.191917,429.864563,-40.235699,0.352185,0,-0.745532,0.000002,0.751933,0.000007
0.099,2.784086,455.890289,37.168907,0.341481,0,-1.097978,0.000053,-0.684432,0.000003,2.111734,431.128448,-40.397682,0.351406,0,-0.744937,0.000006,0.78206,0
0.1,2.626223,455.575012,36.600239,0.341637,0,-1.097624,-0.000018,-0.731871,0.000001,2.350615,430.183289,-40.397682,0.351546,0,-0.744813,0.000014,0.745043,0.000002
0.101,2.624555,455.73468,36.600239,0.341402,0,-1.097104,0.000028,-0.610647,0.000008,2.42913,429.388062,-39.911037,0.352039,0,-0.745176,0.000019,0.764756,0.000001
0.102,2.626223,456.052734,36.033634,0.341226,0,-1.096861,0.000039,-0.707946,-0.000005,1.872019,430.174561,-40.476955,0.351183,0,-0.745344,0.000003,0.79044,0.000008
0.103,2.623721,456.054993,36.441692,0.341226,0,-1.0973,0.00003,-0.712514,0.000003,2.510147,428.122864,-39.992374,0.352202,0,-0.745542,0.000016,0.683876,0.000008
0.104,3.181665,455.422546,36.846313,0.341492,0,-1.09617,0.000003,-0.548611,0.000012,2.350615,430.813812,-40.397682,0.351163,0,-0.744893,0.000015,0.72939,0.000009
0.105,3.020465,456.055847,36.685017,0.34127,0,-1.096787,0.000018,-0.499122,0.000011,2.987073,427.329132,-39.752491,0.352436,0,-0.745934,0.000012,0.802172,-0.000002
0.106,3.259346,456.999023,36.525093,0.341215,0,-1.098307,0.000006,-0.508426,0.000008,2.667176,430.818604,-39.426456,0.351042,0,-0.743228,0.000015,0.786077,0.000011
0.107,3.179997,456.843201,36.525093,0.340856,0,-1.098337,-0.000016,-0.5435,0.000014,2.749861,428.757721,-40.396996,0.35122,0,-0.743855,0.000013,0.554108,0.00001
0.108,2.859266,456.523315,36.282459,0.341285,0,-1.097948,0.000039,-0.534562,0.000009,3.064754,428.913849,-39.506416,0.351628,0,-0.744288,0.000014,0.725583,0.000005
0.109,3.09898,457.471252,36.202496,0.341226,0,-1.098487,0.000051,-0.54872,-0.000003,2.826708,430.653412,-40.398373,0.350852,0,-0.744102,0.000005,0.779349,0.000015
0.11,3.258512,456.365173,36.283833,0.341127,0,-1.097979,0.00002,-0.52344,0.000007,2.905223,426.383667,-39.667717,0.351294,0,-0.745793,0.000013,0.729649,0.000017
0.111,3.097313,456.364838,36.527843,0.3414,0,-1.098196,0.000034,-0.524683,0.000005,2.906891,429.546722,-40.154362,0.350914,0,-0.743929,0.000009,0.667048,0.000014
0.112,3.256844,454.782776,36.528534,0.341564,0,-1.097064,0.000013,-0.520489,0.000007,2.985406,425.907837,-39.587753,0.351904,0,-0.744688,0.000022,0.752153,0.000011
0.113,2.938615,453.989624,36.772545,0.341382,0,-1.096953,0.000036,-0.711901,0.000011,3.145771,428.116882,-39.990997,0.351036,0,-0.744247,-0.000005,0.551699,0.000018
0.114,2.936947,454.146301,36.531284,0.341732,0,-1.096462,0.000015,-0.686829,0.00002,3.222618,425.745972,-40.235699,0.350784,0,-0.745264,0.000023,0.808704,-0.000002
0.115,2.776581,454.150604,36.610558,0.341566,0,-1.096209,0.000044,-0.583551,0.000012,3.38215,425.745117,-39.828323,0.350805,0,-0.745735,0.000008,0.620448,0.000012
0.116,2.775747,453.834808,36.693268,0.341596,0,-1.096509,0.000046,-0.618429,0.000013,3.304469,427.488495,-39.748363,0.350506,0,-0.743609,0.000017,0.546,0.000009
0.117,3.254342,455.416595,36.450634,0.341503,0,-1.096943,-0.000007,-0.500802,0.000017,3.702881,426.069977,-39.58638,0.350801,0,-0.744177,0.000015,0.457441,0.000006
0.118,3.094811,454.782593,36.613995,0.341108,0,-1.097538,0.000042,-0.603853,0.000007,3.223453,426.855499,-39.827637,0.350572,0,-0.744055,0.000028,0.573902,0.000006
0.119,3.174993,456.051208,36.775295,0.340711,0,-1.098472,0.000017,-0.572456,0.000006,3.620197,425.274078,-39.424393,0.350341,0,-0.744837,-0.000008,0.648448,0.000014
0.12,2.77408,454.467651,36.371361,0.3411,0,-1.097388,0.000045,-0.57996,0.000014,3.061419,425.115326,-39.667027,0.350526,0,-0.745109,0.000002,0.844082,0.000016
0.121,2.773245,453.674744,36.372738,0.341245,0,-1.096331,0.000046,-0.594747,0,3.14327,423.850952,-39.583626,0.350844,0,-0.745459,0.000015,0.568305,0.000003
0.122,2.932777,454.941376,36.695332,0.340856,0,-1.097495,0.000067,-0.488643,0.000017,3.380482,424.956543,-39.340302,0.350504,0,-0.744267,0.000011,0.598434,0.000008
0.123,3.093976,454.625763,36.049454,0.341341,0,-1.097393,0.000036,-0.651526,0.000008,3.301133,425.269501,-39.341679,0.350458,0,-0.744312,0.000003,0.660155,0.000012
0.124,3.251841,455.884552,36.048763,0.34081,0,-1.099072,0.000064,-0.451906,0.00001,3.062252,423.537506,-39.340302,0.350241,0,-0.744597,0.000026,0.62548,0.00001
0.125,3.333691,455.566986,36.291401,0.340992,0,-1.098139,0.000002,-0.567384,0.000015,3.301133,424.014526,-38.934994,0.350604,0,-0.744086,0.000005,0.56068,0.000007
0.126,3.492389,456.051392,36.617435,0.341183,0,-1.098007,-0.000018,-0.593447,0.000007,3.619362,423.057068,-39.018394,0.350291,0,-0.745287,0.000008,0.62911,0.000005
0.127,3.411372,454.630707,36.534035,0.340939,0,-1.097579,0.000018,-0.397358,0.000011,3.620197,422.112762,-39.017708,0.3504,0,-0.744635,0.000037,0.545605,0.000003
0.128,3.41304,454.30603,37.019302,0.341263,0,-1.097589,-0.000001,-0.506909,-0.000003,3.618528,423.375977,-39.017708,0.349934,0,-0.743492,0.000037,0.643715,0.000006
0.129,3.41304,454.308533,37.020679,0.341553,0,-1.097104,-0.000004,-0.5841,0.000001,3.618528,422.741333,-39.665649,0.350013,0,-0.745061,0.00003,0.674094,0.000006
0.13,2.934445,453.357361,36.451321,0.340853,0,-1.096139,0.000004,-0.534587,0.000001,3.856575,421.000092,-38.853657,0.350644,0,-0.745791,0.000023,0.565517,0
0.131,2.534365,452.885559,35.885406,0.341217,0,-1.096304,0.00004,-0.594167,0.000016,3.378814,421.634613,-39.258965,0.350034,0,-0.744867,0.000002,0.668942,0.000008
0.132,3.093976,452.881287,36.209373,0.34143,0,-1.096511,-0.000015,-0.55671,0.000004,3.698711,420.047607,-38.855034,0.350738,0,-0.74541,0.000012,0.573993,-0.000002
0.133,3.17416,454.626099,36.451321,0.341205,0,-1.09759,0.000009,-0.518567,0.000002,3.459831,421.636078,-38.934994,0.349729,0,-0.744823,0.000032,0.532911,-0.000002
0.134,2.85593,453.83432,36.205936,0.341313,0,-1.096806,0.000001,-0.527719,0,3.698711,418.782471,-39.019085,0.350731,0,-0.745266,0.000019,0.68478,0.000001
0.135,3.174993,453.359802,36.773232,0.34132,0,-1.096106,0.000057,-0.485192,0.000002,3.619362,421.790771,-38.935684,0.350123,0,-0.744325,-0.000007,0.536794,0.000007
0.136,2.934445,454.153534,36.450634,0.341146,0,-1.096713,0.000007,-0.512903,0.000016,3.139934,419.741119,-38.938435,0.349594,0,-0.744571,0.000031,0.849465,0.000007
0.137,2.776581,453.680511,36.447884,0.340804,0,-1.096077,0.000046,-0.514489,0.000013,3.93926,419.737244,-38.693737,0.350329,0,-0.745076,0.000008,0.429908,-0.000003
0.138,2.934445,455.580322,36.36586,0.340943,0,-1.097647,0.00001,-0.317598,0.000014,3.540014,419.578674,-39.017708,0.349746,0,-0.74562,0.000007,0.568275,0.000009
0.139,3.573406,455.730865,36.205246,0.340784,0,-1.097873,0.000029,-0.267196,0.000002,4.10046,418.157562,-38.369762,0.35006,0,-0.744824,0.000006,0.244513,0.000007
0.14,3.493223,456.053345,36.44857,0.340165,0,-1.098991,0.000046,-0.268163,-0.000004,3.459831,420.211395,-39.261032,0.349498,0,-0.743887,0.000016,0.645665,-0.000002
0.141,3.334525,454.784393,35.719978,0.340698,0,-1.097881,0.000039,-0.366591,0.00001,3.859077,416.575104,-38.37114,0.35038,0,-0.745416,0.000004,0.5338,0.000006
0.142,3.415542,454.154541,36.530594,0.340616,0,-1.096944,0.000026,-0.491289,0.000001,3.620197,419.583801,-38.855721,0.349434,0,-0.744273,0.000018,0.501073,0.000005
0.143,3.573406,453.681946,36.449257,0.34075,0,-1.096564,0.000033,-0.322454,0.000013,3.380482,417.362,-38.532436,0.350302,0,-0.743952,0.000011,0.652261,0.000002
0.144,3.414708,453.8396,36.691895,0.340792,0,-1.097236,0.000038,-0.415799,0.000005,3.70038,418.155548,-38.288425,0.349851,0,-0.744551,0.000014,0.418815,0.000008
0.145,3.494057,453.36438,36.205936,0.34121,0,-1.096659,-0.000025,-0.360504,0.000008,3.699545,417.204529,-38.775761,0.349806,0,-0.744753,0.000009,0.565134,0.000005
0.146,3.81312,454.001831,36.369301,0.34031,0,-1.096994,-0.000018,-0.32242,0.000008,4.019443,415.620605,-38.450413,0.350516,0,-0.745308,0.000019,0.35496,0.000009
